Rex Martinez,0,73,18,498,70,49,77,46,52,61,73,95000,1
Trick Edwards,0,52,18,237,44,63,61,69,65,83,64,215000,2
Hayley Jack,1,39,19,464,53,81,43,70,76,45,54,236000,2
Ezekiel Bradshaw,0,56,19,445,55,56,72,77,62,62,70,403000,1
Billie Hamlin,1,63,32,450,76,71,44,73,55,99,42,961000,0
Rachel Steiner,1,68,18,305,40,59,86,79,59,43,67,207000,1
Ariana Dreamer,1,61,36,125,59,83,71,60,64,45,21,796000,2
Quinn Friedman,1,68,51,379,51,43,51,61,57,55,44,494000,2
Bailey Benjamin,1,51,47,201,54,47,63,89,63,80,74,196000,2
Sean Allen,0,97,18,185,47,52,42,50,53,39,51,623000,0
Michelle Evans,1,55,24,65,32,26,79,46,45,48,42,668000,1
Victor Miguel,0,52,53,8,58,44,77,34,59,77,37,954000,1
Natalya Dean,1,29,36,383,67,42,56,87,36,49,71,16000,2
Nia Saint,1,70,38,264,60,61,48,26,72,52,61,72000,0
Bobby Oweh,0,62,18,126,39,32,69,57,58,48,63,307000,1
Danny Carter,0,67,20,75,64,67,65,86,69,56,33,317000,2
Awesome Henry,1,65,34,365,84,64,81,65,84,59,87,269000,0
CM Custer,0,61,41,219,76,92,43,66,66,62,65,445000,2
Sasha McCartney,1,49,32,2,76,51,41,42,53,51,67,916000,0
Bray Hartwell,0,40,18,375,71,27,50,72,51,68,75,941000,2
